,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
35,156.0,90.0,61.0,21.0,33.0,37.0,101.0,241.0,542.0,1164.0,2323.0,3476.0,5002.0,5698.0,5667.0,5880.0,5550.0,4878.0,3817.0,2556.0,1565.0,832.0,471.0,295.0
36,30.0,25.0,33.0,12.0,5.0,5.0,8.0,38.0,64.0,122.0,186.0,207.0,247.0,235.0,212.0,237.0,250.0,232.0,229.0,179.0,130.0,95.0,66.0,54.0
37,10.0,25.0,3.0,2.0,3.0,3.0,10.0,32.0,42.0,88.0,101.0,138.0,181.0,193.0,167.0,187.0,172.0,187.0,146.0,94.0,64.0,74.0,55.0,58.0
38,46.0,22.0,16.0,6.0,2.0,4.0,14.0,38.0,112.0,108.0,159.0,155.0,225.0,215.0,258.0,233.0,260.0,233.0,225.0,187.0,116.0,103.0,68.0,43.0
39,31.0,22.0,9.0,5.0,1.0,12.0,43.0,34.0,66.0,71.0,125.0,153.0,186.0,178.0,154.0,167.0,165.0,134.0,91.0,91.0,79.0,57.0,54.0,89.0
40,22.0,5.0,12.0,4.0,0.0,2.0,14.0,27.0,43.0,45.0,54.0,71.0,49.0,83.0,91.0,82.0,85.0,59.0,63.0,52.0,49.0,40.0,12.0,26.0
41,37.0,37.0,18.0,13.0,5.0,0.0,12.0,18.0,69.0,101.0,190.0,154.0,245.0,225.0,232.0,223.0,248.0,244.0,232.0,183.0,148.0,82.0,57.0,65.0
42,8.0,6.0,4.0,1.0,0.0,5.0,1.0,11.0,12.0,28.0,51.0,69.0,54.0,59.0,50.0,49.0,56.0,55.0,53.0,30.0,40.0,11.0,10.0,14.0
43,59.0,66.0,23.0,25.0,6.0,26.0,58.0,91.0,162.0,222.0,344.0,422.0,474.0,542.0,478.0,494.0,506.0,450.0,402.0,358.0,215.0,163.0,112.0,130.0
44,61.0,23.0,33.0,13.0,6.0,4.0,9.0,24.0,68.0,150.0,205.0,272.0,324.0,295.0,365.0,360.0,355.0,384.0,251.0,245.0,176.0,157.0,101.0,64.0
45,41.0,19.0,27.0,5.0,5.0,5.0,14.0,35.0,65.0,106.0,160.0,182.0,202.0,233.0,251.0,291.0,236.0,226.0,193.0,136.0,127.0,108.0,106.0,61.0
46,17.0,11.0,11.0,6.0,0.0,2.0,2.0,21.0,44.0,55.0,76.0,115.0,89.0,118.0,113.0,94.0,117.0,113.0,81.0,59.0,53.0,41.0,17.0,24.0
47,76.0,33.0,20.0,22.0,16.0,16.0,30.0,44.0,95.0,174.0,235.0,320.0,382.0,371.0,395.0,385.0,436.0,399.0,342.0,255.0,167.0,143.0,101.0,96.0
48,24.0,15.0,8.0,5.0,2.0,4.0,12.0,32.0,40.0,90.0,134.0,128.0,148.0,115.0,117.0,140.0,103.0,123.0,83.0,65.0,54.0,42.0,39.0,24.0
49,21.0,21.0,22.0,35.0,29.0,18.0,23.0,38.0,80.0,131.0,158.0,230.0,298.0,304.0,269.0,259.0,233.0,230.0,227.0,196.0,96.0,101.0,67.0,49.0
50,15.0,21.0,1.0,8.0,5.0,0.0,13.0,21.0,50.0,65.0,56.0,65.0,88.0,77.0,76.0,69.0,61.0,62.0,58.0,60.0,64.0,30.0,37.0,35.0
51,31.0,13.0,4.0,13.0,12.0,10.0,13.0,36.0,67.0,127.0,127.0,156.0,192.0,183.0,161.0,138.0,182.0,192.0,169.0,133.0,104.0,86.0,83.0,47.0
52,92.0,73.0,19.0,23.0,7.0,22.0,21.0,36.0,107.0,203.0,243.0,294.0,329.0,350.0,408.0,400.0,393.0,392.0,366.0,275.0,229.0,225.0,159.0,114.0
53,61.0,33.0,9.0,11.0,5.0,5.0,7.0,46.0,142.0,143.0,178.0,196.0,233.0,217.0,233.0,223.0,168.0,255.0,227.0,190.0,162.0,80.0,78.0,56.0
54,45.0,36.0,15.0,7.0,7.0,3.0,8.0,15.0,44.0,71.0,100.0,111.0,138.0,142.0,159.0,154.0,162.0,154.0,116.0,92.0,78.0,52.0,47.0,46.0
55,8.0,4.0,4.0,0.0,5.0,21.0,17.0,15.0,14.0,25.0,25.0,62.0,53.0,68.0,81.0,75.0,51.0,58.0,62.0,39.0,36.0,31.0,13.0,3.0
56,77.0,47.0,31.0,16.0,12.0,2.0,17.0,54.0,80.0,140.0,274.0,303.0,363.0,358.0,375.0,364.0,365.0,359.0,359.0,294.0,178.0,130.0,104.0,95.0
57,17.0,9.0,4.0,2.0,5.0,6.0,13.0,33.0,70.0,123.0,153.0,189.0,256.0,235.0,217.0,242.0,212.0,170.0,134.0,110.0,83.0,55.0,33.0,32.0
58,58.0,28.0,17.0,0.0,3.0,4.0,16.0,60.0,104.0,109.0,250.0,221.0,437.0,351.0,454.0,441.0,342.0,318.0,238.0,204.0,81.0,86.0,65.0,30.0
59,81.0,64.0,37.0,27.0,17.0,22.0,36.0,122.0,170.0,327.0,367.0,432.0,464.0,509.0,440.0,468.0,520.0,489.0,429.0,375.0,229.0,227.0,145.0,113.0
60,36.0,21.0,18.0,6.0,4.0,1.0,19.0,25.0,75.0,147.0,214.0,316.0,358.0,364.0,364.0,344.0,317.0,284.0,188.0,153.0,107.0,43.0,43.0,35.0
61,61.0,70.0,40.0,19.0,14.0,8.0,6.0,24.0,48.0,152.0,193.0,305.0,338.0,368.0,329.0,341.0,319.0,327.0,239.0,259.0,128.0,113.0,75.0,52.0
62,36.0,17.0,12.0,5.0,12.0,16.0,19.0,97.0,121.0,140.0,136.0,159.0,130.0,196.0,171.0,190.0,154.0,143.0,117.0,135.0,72.0,106.0,77.0,98.0
66,51.0,20.0,23.0,11.0,6.0,2.0,11.0,17.0,60.0,106.0,151.0,178.0,214.0,204.0,148.0,197.0,229.0,183.0,210.0,149.0,86.0,96.0,72.0,72.0
67,43.0,31.0,23.0,8.0,12.0,15.0,42.0,77.0,104.0,196.0,258.0,317.0,325.0,322.0,292.0,286.0,345.0,267.0,269.0,185.0,146.0,115.0,61.0,37.0
68,30.0,10.0,2.0,4.0,4.0,3.0,36.0,14.0,25.0,42.0,66.0,48.0,69.0,62.0,74.0,69.0,91.0,87.0,77.0,52.0,31.0,31.0,42.0,26.0
69,103.0,79.0,58.0,24.0,7.0,15.0,23.0,50.0,143.0,251.0,379.0,499.0,550.0,538.0,545.0,512.0,551.0,452.0,422.0,348.0,224.0,163.0,129.0,101.0
71,38.0,19.0,8.0,3.0,8.0,4.0,6.0,32.0,69.0,126.0,204.0,315.0,256.0,313.0,287.0,255.0,284.0,223.0,229.0,189.0,124.0,78.0,66.0,40.0
72,58.0,13.0,18.0,10.0,4.0,0.0,8.0,18.0,55.0,83.0,138.0,162.0,175.0,166.0,225.0,167.0,196.0,184.0,149.0,109.0,64.0,77.0,56.0,29.0
73,15.0,16.0,6.0,2.0,7.0,2.0,9.0,23.0,40.0,103.0,96.0,108.0,96.0,93.0,98.0,129.0,166.0,159.0,94.0,93.0,93.0,45.0,51.0,34.0
74,84.0,37.0,36.0,21.0,13.0,3.0,12.0,21.0,105.0,142.0,207.0,244.0,301.0,299.0,269.0,275.0,340.0,283.0,269.0,260.0,161.0,107.0,94.0,76.0
75,20.0,8.0,6.0,0.0,0.0,1.0,9.0,17.0,68.0,67.0,125.0,96.0,119.0,94.0,124.0,97.0,113.0,95.0,108.0,48.0,70.0,32.0,33.0,20.0
76,105.0,45.0,41.0,25.0,9.0,16.0,92.0,149.0,352.0,645.0,1208.0,1680.0,2280.0,2334.0,2574.0,2862.0,2679.0,2194.0,1818.0,1335.0,852.0,485.0,257.0,224.0
77,89.0,31.0,28.0,13.0,13.0,8.0,31.0,64.0,157.0,210.0,315.0,218.0,301.0,253.0,292.0,247.0,368.0,309.0,224.0,185.0,174.0,145.0,97.0,88.0
80,24.0,9.0,11.0,6.0,6.0,4.0,22.0,39.0,55.0,101.0,135.0,151.0,156.0,158.0,170.0,184.0,160.0,133.0,126.0,71.0,58.0,38.0,23.0,20.0
81,16.0,8.0,5.0,2.0,3.0,1.0,9.0,41.0,99.0,164.0,203.0,231.0,271.0,321.0,264.0,251.0,269.0,231.0,184.0,176.0,85.0,59.0,52.0,34.0
84,73.0,27.0,20.0,19.0,10.0,10.0,11.0,23.0,37.0,121.0,159.0,186.0,211.0,195.0,216.0,235.0,253.0,234.0,184.0,205.0,143.0,92.0,58.0,68.0
85,111.0,56.0,49.0,28.0,11.0,19.0,41.0,117.0,301.0,552.0,865.0,1414.0,1589.0,1938.0,1928.0,1985.0,1831.0,1585.0,1170.0,811.0,450.0,259.0,226.0,113.0
86,51.0,40.0,16.0,19.0,8.0,10.0,7.0,3.0,23.0,64.0,93.0,89.0,113.0,109.0,119.0,115.0,124.0,110.0,101.0,92.0,77.0,59.0,35.0,30.0
87,44.0,31.0,19.0,11.0,8.0,3.0,21.0,41.0,71.0,126.0,145.0,138.0,172.0,168.0,171.0,164.0,148.0,137.0,117.0,95.0,77.0,62.0,50.0,41.0
88,13.0,8.0,1.0,4.0,2.0,3.0,8.0,23.0,93.0,75.0,93.0,91.0,100.0,120.0,122.0,115.0,98.0,87.0,83.0,91.0,42.0,20.0,18.0,11.0
