,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
67,46,18,13,9,11,116,889,2205,1352,688,463,496,403,394,403,389,617,952,956,694,444,299,174,108
68,24,12,26,11,16,29,222,643,1173,494,177,142,277,320,218,223,572,764,399,207,148,169,115,61
69,96,59,18,8,19,152,854,1277,967,612,378,434,572,526,470,664,778,1399,1601,1219,794,540,389,194
71,30,18,5,1,4,46,603,2032,2099,995,595,503,656,578,601,608,1233,1555,1100,607,381,257,138,71
72,55,16,7,3,4,5,44,93,306,156,82,208,317,337,392,460,847,1866,1273,746,487,342,202,125
73,26,11,7,9,11,61,657,591,1220,823,165,245,345,271,191,267,318,828,431,323,247,164,90,72
74,62,36,29,5,7,82,313,765,1884,943,415,591,696,633,611,680,1155,1954,1691,1154,744,650,295,187
75,25,5,4,1,64,253,999,1762,2537,1072,357,334,523,583,693,1604,2833,3250,1075,427,289,167,104,40
76,115,48,22,6,10,28,89,396,483,577,1233,1674,2097,2324,2541,2755,2968,2909,2134,1390,867,588,372,221
77,207,30,14,19,53,286,2164,3140,5384,2205,642,1187,1310,1373,895,2206,9327,10646,2439,1120,712,525,326,223
80,28,6,2,1,7,45,187,324,824,383,206,318,342,302,457,547,947,1728,959,519,291,191,99,52
81,45,17,74,71,9,64,562,2620,8004,4937,1360,1115,1417,1323,881,1031,1099,1366,825,549,254,247,119,82
84,191,37,32,12,9,55,200,486,701,379,182,284,443,299,495,401,833,1689,1014,756,528,412,264,140
85,98,68,45,33,11,175,411,1398,1770,1072,1213,1346,1707,1780,1954,1975,2170,2294,1969,1253,890,514,378,217
86,54,36,18,7,6,3,43,87,169,69,62,89,149,165,152,165,322,813,811,582,427,285,173,127
87,45,23,15,8,0,41,108,287,238,191,179,212,202,249,192,298,492,952,667,406,314,219,182,114
88,8,7,2,1,4,33,160,249,764,489,133,195,162,185,300,253,546,1166,711,366,183,123,51,26
89,21,9,9,10,3,19,988,798,906,403,181,180,405,321,305,753,2385,1905,438,207,163,125,93,49
90,94,68,20,17,14,110,333,995,2270,1154,1116,1455,1916,1842,1825,1874,1981,2182,1753,1119,810,456,424,211
91,52,6,2,5,3,349,1597,2737,5117,2099,684,816,1171,1163,1585,5042,8471,8499,3233,1461,533,302,100,74
92,16,12,8,3,3,11,175,172,216,197,79,142,123,116,133,156,268,858,548,334,189,139,95,50
93,23,9,4,1,7,97,291,345,165,143,136,191,254,294,227,284,522,1014,821,558,342,236,149,70
94,80,41,26,6,10,21,172,558,525,315,574,592,729,835,864,937,1235,2280,2125,1289,884,656,411,206
95,1,2,0,0,0,3,3,18,4,3,3,5,8,12,19,2,6,10,18,14,10,9,5,0
96,46,19,11,3,1,112,102,259,727,509,211,318,382,367,294,358,684,1239,718,528,275,235,153,100
97,16,4,4,0,2,2,103,217,391,314,443,623,663,591,624,480,403,452,436,343,190,108,54,52
98,12,14,14,8,18,311,1219,2120,2562,1189,619,684,915,1040,602,447,569,446,216,131,120,84,103,49
99,81,54,15,17,4,23,192,564,473,397,337,456,555,516,583,715,922,1427,999,606,450,254,211,148
