,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
35,163.0,71.0,48.0,13.0,11.0,276.0,350.0,751.0,1075.0,1316.0,2171.0,3315.0,4103.0,4733.0,5145.0,5687.0,5933.0,5374.0,3965.0,3062.0,2023.0,1465.0,969.0,327.0
36,22.0,9.0,12.0,6.0,5.0,83.0,496.0,1164.0,2570.0,549.0,532.0,830.0,963.0,953.0,852.0,1479.0,2848.0,3076.0,1038.0,538.0,326.0,235.0,95.0,50.0
37,36.0,11.0,4.0,2.0,31.0,12.0,99.0,415.0,672.0,563.0,374.0,605.0,809.0,938.0,826.0,1063.0,1949.0,1984.0,676.0,412.0,227.0,147.0,111.0,66.0
38,67.0,31.0,13.0,6.0,6.0,92.0,451.0,947.0,932.0,876.0,359.0,605.0,642.0,630.0,610.0,1089.0,1878.0,2445.0,801.0,553.0,363.0,252.0,184.0,130.0
39,48.0,21.0,12.0,13.0,6.0,39.0,198.0,373.0,284.0,257.0,253.0,513.0,521.0,599.0,814.0,772.0,1880.0,1843.0,539.0,296.0,188.0,161.0,89.0,83.0
40,33.0,12.0,13.0,1.0,4.0,5.0,27.0,60.0,101.0,161.0,215.0,451.0,581.0,501.0,544.0,867.0,2241.0,4701.0,1541.0,318.0,146.0,151.0,86.0,63.0
41,19.0,2.0,24.0,7.0,12.0,163.0,401.0,1454.0,1237.0,558.0,394.0,411.0,639.0,708.0,356.0,360.0,568.0,725.0,720.0,487.0,330.0,232.0,149.0,66.0
42,15.0,11.0,9.0,4.0,10.0,25.0,46.0,102.0,119.0,158.0,79.0,98.0,93.0,84.0,85.0,137.0,128.0,382.0,291.0,132.0,59.0,47.0,55.0,19.0
43,82.0,53.0,11.0,11.0,5.0,324.0,519.0,1420.0,1793.0,767.0,625.0,872.0,891.0,1121.0,1147.0,1554.0,4878.0,8076.0,2813.0,1297.0,661.0,474.0,271.0,174.0
44,52.0,34.0,7.0,17.0,12.0,36.0,246.0,471.0,904.0,558.0,399.0,468.0,732.0,717.0,650.0,714.0,1974.0,2947.0,1215.0,710.0,550.0,379.0,313.0,170.0
45,49.0,24.0,5.0,3.0,5.0,7.0,139.0,408.0,388.0,291.0,393.0,440.0,416.0,448.0,408.0,642.0,586.0,1062.0,644.0,321.0,272.0,176.0,139.0,80.0
46,16.0,5.0,1.0,2.0,8.0,120.0,312.0,516.0,1273.0,462.0,165.0,203.0,233.0,196.0,199.0,247.0,418.0,528.0,462.0,275.0,159.0,123.0,60.0,42.0
47,77.0,52.0,24.0,18.0,7.0,24.0,166.0,322.0,736.0,454.0,502.0,776.0,813.0,695.0,1214.0,1441.0,2535.0,2665.0,1178.0,615.0,410.0,313.0,274.0,231.0
48,17.0,8.0,2.0,0.0,2.0,54.0,322.0,1033.0,1506.0,509.0,381.0,1224.0,1187.0,772.0,802.0,1255.0,4535.0,3964.0,1470.0,644.0,257.0,112.0,79.0,55.0
49,70.0,22.0,10.0,10.0,141.0,71.0,119.0,357.0,378.0,371.0,423.0,1194.0,1336.0,1207.0,1041.0,1483.0,3705.0,2725.0,1124.0,718.0,494.0,348.0,253.0,115.0
50,30.0,12.0,14.0,9.0,0.0,55.0,1078.0,1093.0,1627.0,464.0,214.0,301.0,275.0,224.0,284.0,471.0,1149.0,1669.0,929.0,349.0,113.0,105.0,44.0,42.0
51,34.0,19.0,3.0,4.0,3.0,92.0,126.0,332.0,712.0,628.0,494.0,706.0,951.0,863.0,760.0,1134.0,2590.0,2684.0,921.0,491.0,303.0,163.0,191.0,79.0
52,123.0,38.0,28.0,4.0,42.0,76.0,287.0,462.0,601.0,580.0,454.0,753.0,1003.0,1080.0,1077.0,1703.0,4623.0,2566.0,1023.0,632.0,417.0,361.0,215.0,169.0
53,35.0,27.0,14.0,4.0,11.0,102.0,602.0,1099.0,1244.0,521.0,317.0,447.0,659.0,701.0,565.0,708.0,1585.0,2219.0,1152.0,636.0,447.0,311.0,252.0,134.0
54,28.0,15.0,4.0,5.0,2.0,47.0,168.0,397.0,939.0,425.0,242.0,320.0,262.0,226.0,204.0,289.0,518.0,997.0,679.0,356.0,231.0,160.0,99.0,55.0
55,14.0,5.0,3.0,2.0,4.0,1.0,73.0,97.0,199.0,174.0,198.0,163.0,206.0,249.0,264.0,450.0,482.0,398.0,324.0,266.0,168.0,117.0,60.0,33.0
56,28.0,16.0,11.0,4.0,8.0,233.0,763.0,1684.0,2022.0,802.0,373.0,482.0,606.0,526.0,396.0,480.0,896.0,1803.0,1711.0,1013.0,524.0,334.0,192.0,122.0
57,41.0,18.0,12.0,11.0,10.0,60.0,56.0,134.0,210.0,146.0,188.0,251.0,337.0,309.0,310.0,258.0,393.0,506.0,534.0,502.0,380.0,282.0,110.0,51.0
58,24.0,7.0,4.0,1.0,3.0,26.0,411.0,1487.0,2104.0,474.0,289.0,284.0,295.0,316.0,285.0,409.0,1236.0,2392.0,2094.0,712.0,292.0,241.0,246.0,80.0
59,128.0,54.0,28.0,11.0,8.0,192.0,777.0,874.0,2506.0,852.0,540.0,629.0,679.0,734.0,664.0,747.0,1112.0,1817.0,1394.0,982.0,673.0,501.0,322.0,232.0
60,57.0,20.0,7.0,5.0,129.0,66.0,287.0,419.0,741.0,321.0,197.0,278.0,348.0,340.0,321.0,400.0,510.0,1024.0,751.0,542.0,465.0,383.0,256.0,136.0
61,74.0,43.0,5.0,10.0,16.0,54.0,181.0,822.0,971.0,315.0,134.0,228.0,240.0,252.0,270.0,267.0,352.0,710.0,741.0,608.0,385.0,241.0,192.0,118.0
62,17.0,13.0,7.0,0.0,0.0,22.0,132.0,69.0,135.0,226.0,310.0,327.0,356.0,297.0,330.0,355.0,528.0,586.0,351.0,196.0,126.0,82.0,88.0,29.0
66,34.0,22.0,12.0,4.0,13.0,175.0,874.0,1832.0,3138.0,1242.0,398.0,799.0,921.0,639.0,705.0,910.0,2055.0,3594.0,1588.0,720.0,350.0,219.0,158.0,106.0
67,55.0,28.0,9.0,10.0,8.0,59.0,188.0,323.0,375.0,292.0,274.0,428.0,521.0,567.0,632.0,841.0,1591.0,2113.0,1293.0,880.0,630.0,485.0,286.0,170.0
68,40.0,4.0,1.0,1.0,5.0,11.0,220.0,517.0,1037.0,478.0,223.0,280.0,314.0,223.0,210.0,520.0,824.0,1197.0,506.0,206.0,123.0,54.0,25.0,23.0
69,125.0,59.0,35.0,23.0,7.0,73.0,333.0,744.0,849.0,476.0,389.0,438.0,502.0,493.0,520.0,584.0,915.0,1806.0,1318.0,1043.0,769.0,599.0,424.0,270.0
71,81.0,22.0,23.0,5.0,8.0,41.0,462.0,951.0,805.0,528.0,350.0,467.0,639.0,626.0,567.0,682.0,1980.0,2423.0,1276.0,788.0,438.0,344.0,235.0,139.0
72,14.0,2.0,1.0,2.0,11.0,76.0,409.0,836.0,1575.0,633.0,385.0,291.0,349.0,369.0,197.0,237.0,322.0,521.0,365.0,218.0,172.0,98.0,50.0,32.0
73,10.0,36.0,1.0,2.0,10.0,33.0,212.0,599.0,1439.0,612.0,275.0,349.0,403.0,351.0,276.0,453.0,723.0,1127.0,589.0,316.0,157.0,86.0,53.0,38.0
